#ID,,Make,Model,Bodywork,Operator,Chassis ID,Reg Date,Notes,Depot,Svc,Batch,Gearbox model,EDS model,Chair model,Door model,Air Con model
1066,S,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1067,P,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1068,L,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1069,J,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1070,D,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1071,B,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1072,Z,,,,,,,,,,,,,,,
1073,X,,,,,,,,,,,,,,,
1074,T,,,,,,,,,,,,,,,
1075,R,,,,,,,,,,,,,,,
1076,M,,,,,,,,,,,,,,,
1077,K,,,,,,,,,,,,,,,
1078,H,,,,,,,,,,,,,,,
1079,E,,,,,,,,,,,,,,,
1080,A,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1081,Y,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1082,U,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1083,S,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1084,P,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1085,L,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1086,J,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1087,G,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1088,D,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1089,B,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
