#ID,,Make,Model,Bodywork,Operator,Chassis ID,Reg Date,Notes,Depot,Svc,Batch,Gearbox model,EDS model,Chair model,Door model,Air Con model
399,Z,,,,,,,,,,,,,,,
400,C,,,,,,,,,,,,,,,
401,A,,,,,,,,,,,,,,,
402,Y,,,,,,,,,,,,,,,
403,U,,,,,,,,,,,,,,,
404,S,,,,,,,,,,,,,,,
405,P,,,,,,,,,,,,,,,
406,L,,,,,,,,,,,,,,,
407,J,,,,,,,,,,,,,,,
408,G,,,,,,,,,,,,,,,
409,D,,,,,,,,,,,,,,,
410,Z,,,,,,,,,,,,,,,
411,X,,,,,,,,,,,,,,,
412,T,,,,,,,,,,,,,,,
413,R,,,,,,,,,,,,,,,
414,M,,,,,,,,,,,,,,,
415,K,,,,,,,,,,,,,,,
416,H,,,,,,,,,,,,,,,
417,E,,,,,,,,,,,,,,,
418,C,,,,,,,,,,,,,,,
419,A,,,,,,,,,,,,,,,
420,U,,,,,,,,,,,,,,,
421,S,,,,,,,,,,,,,,,
422,P,,,,,,,,,,,,,,,
423,L,,,,,,,,,,,,,,,
424,J,,,,,,,,,,,,,,,
425,G,,,,,,,,,,,,,,,
426,D,,,,,,,,,,,,,,,
427,B,,,,,,,,,,,,,,,
428,Z,,,,,,,,,,,,,,,
429,X,,,,,,,,,,,,,,,
430,R,,,,,,,,,,,,,,,
431,M,,,,,,,,,,,,,,,
432,K,,,,,,,,,,,,,,,
433,H,,,,,,,,,,,,,,,
434,E,,,,,,,,,,,,,,,
435,C,,,,,,,,,,,,,,,
436,A,,,,,,,,,,,,,,,
437,Y,,,,,,,,,,,,,,,
438,U,,,,,,,,,,,,,,,
439,S,,,,,,,,,,,,,,,
440,L,,,,,,,,,,,,,,,
441,J,,,,,,,,,,,,,,,
442,G,,,,,,,,,,,,,,,
443,D,,,,,,,,,,,,,,,
444,B,,,,,,,,,,,,,,,
445,Z,,,,,,,,,,,,,,,
446,X,,,,,,,,,,,,,,,
447,T,,,,,,,,,,,,,,,
448,R,,,,,,,,,,,,,,,
449,M,,,,,,,,,,,,,,,
450,H,,,,,,,,,,,,,,,
451,E,,,,,,,,,,,,,,,
452,C,,,,,,,,,,,,,,,
453,A,,,,,,,,,,,,,,,
454,Y,,,,,,,,,,,,,,,
455,U,,,,,,,,,,,,,,,
456,S,,,,,,,,,,,,,,,
457,P,,,,,,,,,,,,,,,
458,L,,,,,,,,,,,,,,,
459,J,,,,,,,,,,,,,,,
460,D,,,,,,,,,,,,,,,
461,B,,,,,,,,,,,,,,,
462,Z,,,,,,,,,,,,,,,
463,X,,,,,,,,,,,,,,,
464,T,,,,,,,,,,,,,,,
465,R,,,,,,,,,,,,,,,
466,M,,,,,,,,,,,,,,,
467,K,,,,,,,,,,,,,,,
468,H,,,,,,,,,,,,,,,
469,E,,,,,,,,,,,,,,,
470,A,,,,,,,,,,,,,,,
471,Y,,,,,,,,,,,,,,,
472,U,,,,,,,,,,,,,,,
473,S,,,,,,,,,,,,,,,
474,P,,,,,,,,,,,,,,,
475,L,,,,,,,,,,,,,,,
