#ID,,Make,Model,Bodywork,Operator,Chassis ID,Reg Date,Notes,Depot,Svc,Batch,Gearbox model,EDS model,Chair model,Door model,Air Con model,
5166,S,,,,,,,,,,,,,,,,
5167,P,Zhong Tong,Fashion LCK6125HQGA,,Tong Tar Transport,,,,,RWS8,,,,,,,
5168,L,,,,,,,,,,,,,,,,
5169,J,,,,,,,,,,,,,,,,
5170,D,,,,,,,,,,,,,,,,
5171,B,,,,,,,,,,,,,,,,
5172,Z,,,,,,,,,,,,,,,,
5173,X,,,,,,,,,,,,,,,,
5174,T,,,,,,,,,,,,,,,,
5175,R,,,,,,,,,,,,,,,,
5176,M,,,,,,,,,,,,,,,,
5177,K,,,,,,,,,,,,,,,,
5178,H,,,,,,,,,,,,,,,,
5179,E,,,,,,,,,,,,,,,,
5180,A,,,,,,,,,,,,,,,,
5181,Y,,,,,,,,,,,,,,,,
5182,U,,,,,,,,,,,,,,,,
5183,S,,,,,,,,,,,,,,,,
5184,P,,,,,,,,,,,,,,,,
5185,L,,,,,,,,,,,,,,,,
5186,J,,,,,,,,,,,,,,,,
5187,G,Zhong Tong,Fashion LCK6125HQGA,,Tong Tar Transport,,,,,RWS8,,,,,,,
5188,D,,,,,,,,,,,,,,,,
5189,B,,,,,,,,,,,,,,,,
5190,X,,,,,,,,,,,,,,,,
5191,T,,,,,,,,,,,,,,,,
5192,R,,,,,,,,,,,,,,,,
5193,M,,,,,,,,,,,,,,,,
5194,K,,,,,,,,,,,,,,,,
5195,H,,,,,,,,,,,,,,,,
5196,E,,,,,,,,,,,,,,,,
5197,C,,,,,,,,,,,,,,,,
5198,A,,,,,,,,,,,,,,,,
5199,Y,,,,,,,,,,,,,,,,
5200,B,,,,,,,,,,,,,,,,
5201,Z,,,,,,,,,,,,,,,,
5202,X,,,,,,,,,,,,,,,,
5203,T,,,,,,,,,,,,,,,,
5204,R,,,,,,,,,,,,,,,,
5205,M,,,,,,,,,,,,,,,,
5206,K,,,,,,,,,,,,,,,,
5207,H,,,,,,,,,,,,,,,,
5208,E,,,,,,,,,,,,,,,,
5209,C,,,,,,,,,,,,,,,,
5210,Y,,,,,,,,,,,,,,,,
5211,U,,,,,,,,,,,,,,,,
5212,S,,,,,,,,,,,,,,,,
5213,P,,,,,,,,,,,,,,,,
5214,L,,,,,,,,,,,,,,,,
5215,J,,,,,,,,,,,,,,,,
5216,G,,,,,,,,,,,,,,,,
5217,D,,,,,,,,,,,,,,,,
5218,B,,,,,,,,,,,,,,,,
5219,Z,,,,,,,,,,,,,,,,
5220,T,,,,,,,,,,,,,,,,
5221,R,,,,,,,,,,,,,,,,
5222,M,,,,,,,,,,,,,,,,
5223,K,,,,,,,,,,,,,,,,
5224,H,,,,,,,,,,,,,,,,
5225,E,Mitsubishi,Fuso Rosa,Mitsubishi (Integral),Changi General Hospital,,,,,CGH Shuttle,,,N/A; Desto,,,,
5226,C,,,,,,,,,,,,,,,,
5227,A,,,,,,,,,,,,,,,,
5228,Y,,,,,,,,,,,,,,,,
5229,U,,,,,,,,,,,,,,,,
5230,P,,,,,,,,,,,,,,,,
5231,L,,,,,,,,,,,,,,,,
5232,J,,,,,,,,,,,,,,,,
5233,G,,,,,,,,,,,,,,,,
5234,D,,,,,,,,,,,,,,,,
5235,B,,,,,,,,,,,,,,,,
5236,Z,,,,,,,,,,,,,,,,
5237,X,,,,,,,,,,,,,,,,
5238,T,,,,,,,,,,,,,,,,
5239,R,,,,,,,,,,,,,,,,
5240,K,,,,,,,,,,,,,,,,
5241,H,,,,,,,,,,,,,,,,
5242,E,,,,,,,,,,,,,,,,
5243,C,,,,,,,,,,,,,,,,
5244,A,,,,,,,,,,,,,,,,
5245,Y,,,,,,,,,,,,,,,,
5246,U,,,,,,,,,,,,,,,,
5247,S,,,,,,,,,,,,,,,,
5248,P,Zhong Tong,Fashion LCK6125HQGA,,Tong Tar Transport,,,,,RWS8,,,,,,,
5249,L,Zhong Tong,Fashion LCK6125HQGA,,Tong Tar Transport,,,,,RWS8,,,,,,,
5250,G,,,,,,,,,,,,,,,,
5251,D,,,,,,,,,,,,,,,,
5252,B,,,,,,,,,,,,,,,,
5253,Z,,,,,,,,,,,,,,,,
5254,X,,,,,,,,,,,,,,,,
5255,T,,,,,,,,,,,,,,,,
5256,R,,,,,,,,,,,,,,,,
5257,M,,,,,,,,,,,,,,,,
5258,K,,,,,,,,,,,,,,,,
5259,H,,,,,,,,,,,,,,,,
5260,C,,,,,,,,,,,,,,,,
5261,A,,,,,,,,,,,,,,,,
5262,Y,,,,,,,,,,,,,,,,
5263,U,,,,,,,,,,,,,,,,
5264,S,,,,,,,,,,,,,,,,
5265,P,,,,,,,,,,,,,,,,
5266,L,,,,,,,,,,,,,,,,
5267,J,,,,,,,,,,,,,,,,
5268,G,,,,,,,,,,,,,,,,
5269,D,,,,,,,,,,,,,,,,
5270,Z,,,,,,,,,,,,,,,,
5271,X,,,,,,,,,,,,,,,,
5272,T,,,,,,,,,,,,,,,,
5273,R,,,,,,,,,,,,,,,,
5274,M,,,,,,,,,,,,,,,,
5275,K,,,,,,,,,,,,,,,,
5276,H,,,,,,,,,,,,,,,,
5277,E,,,,,,,,,,,,,,,,
5278,C,,,,,,,,,,,,,,,,
5279,A,Zhong Tong,Fashion LCK6125HQGA,,,,,,,,,,,,,,
5280,U,,,,,,,,,,,,,,,,
5281,S,,,,,,,,,,,,,,,,
5282,P,,,,,,,,,,,,,,,,
5283,L,,,,,,,,,,,,,,,,
5284,J,Golden Dragon,XML6957J14B,,,,,,,,,,,,,,
5285,G,,,,,,,,,,,,,,,,
5286,D,Zhong Tong,Fashion LCK6125HQGA,,Tong Tar Transport,,,,,RWS8,,,,,,,
5287,B,,,,,,,,,,,,,,,,
5288,Z,,,,,,,,,,,,,,,,
5289,X,,,,,,,,,,,,,,,,
5290,R,,,,,,,,,,,,,,,,
5291,M,,,,,,,,,,,,,,,,
5292,K,,,,,,,,,,,,,,,,
5293,H,,,,,,,,,,,,,,,,
5294,E,,,,,,,,,,,,,,,,
5295,C,,,,,,,,,,,,,,,,
5296,A,,,,,,,,,,,,,,,,
5297,Y,,,,,,,,,,,,,,,,
5298,U,,,,,,,,,,,,,,,,
5299,S,,,,,,,,,,,,,,,,
5300,X,,,,,,,,,,,,,,,,
5301,T,,,,,,,,,,,,,,,,
5302,R,,,,,,,,,,,,,,,,
5303,M,,,,,,,,,,,,,,,,
5304,K,,,,,,,,,,,,,,,,
5305,H,,,,,,,,,,,,,,,,
5306,E,,,,,,,,,,,,,,,,
5307,C,,,,,,,,,,,,,,,,
5308,A,,,,,,,,,,,,,,,,
5309,Y,,,,,,,,,,,,,,,,
5310,S,,,,,,,,,,,,,,,,
5311,P,,,,,,,,,,,,,,,,
5312,L,,,,,,,,,,,,,,,,
5313,J,,,,,,,,,,,,,,,,
5314,G,,,,,,,,,,,,,,,,
5315,D,,,,,,,,,,,,,,,,
5316,B,,,,,,,,,,,,,,,,
5317,Z,,,,,,,,,,,,,,,,
5318,X,,,,,,,,,,,,,,,,
5319,T,,,,,,,,,,,,,,,,
5320,M,,,,,,,,,,,,,,,,
5321,K,,,,,,,,,,,,,,,,
5322,H,,,,,,,,,,,,,,,,
5323,E,,,,,,,,,,,,,,,,
5324,C,,,,,,,,,,,,,,,,
5325,A,,,,,,,,,,,,,,,,
5326,Y,,,,,,,,,,,,,,,,
5327,U,,,,,,,,,,,,,,,,
5328,S,,,,,,,,,,,,,,,,
5329,P,,,,,,,,,,,,,,,,
5330,J,,,,,,,,,,,,,,,,
5331,G,,,,,,,,,,,,,,,,
5332,D,,,,,,,,,,,,,,,,
5333,B,,,,,,,,,,,,,,,,
5334,Z,,,,,,,,,,,,,,,,
5335,X,,,,,,,,,,,,,,,,
5336,T,,,,,,,,,,,,,,,,
5337,R,,,,,,,,,,,,,,,,
5338,M,,,,,,,,,,,,,,,,
5339,K,,,,,,,,,,,,,,,,
5340,E,,,,,,,,,,,,,,,,
5341,C,,,,,,,,,,,,,,,,
5342,A,,,,,,,,,,,,,,,,
5343,Y,,,,,,,,,,,,,,,,
5344,U,,,,,,,,,,,,,,,,
5345,S,,,,,,,,,,,,,,,,
5346,P,,,,,,,,,,,,,,,,
5347,L,,,,,,,,,,,,,,,,
5348,J,,,,,,,,,,,,,,,,
5349,G,,,,,,,,,,,,,,,,
5350,B,,,,,,,,,,,,,,,,
5351,Z,,,,,,,,,,,,,,,,
5352,X,,,,,,,,,,,,,,,,
5353,T,,,,,,,,,,,,,,,,
5354,R,,,,,,,,,,,,,,,,
5355,M,,,,,,,,,,,,,,,,
5356,K,,,,,,,,,,,,,,,,
5357,H,,,,,,,,,,,,,,,,
5358,E,,,,,,,,,,,,,,,,
5359,C,,,,,,,,,,,,,,,,
5360,Y,,,,,,,,,,,,,,,,
5361,U,,,,,,,,,,,,,,,,
5362,S,,,,,,,,,,,,,,,,
5363,P,,,,,,,,,,,,,,,,
5364,L,,,,,,,,,,,,,,,,
5365,J,,,,,,,,,,,,,,,,
5366,G,,,,,,,,,,,,,,,,
5367,D,,,,,,,,,,,,,,,,
5368,B,,,,,,,,,,,,,,,,
5369,Z,,,,,,,,,,,,,,,,
5370,T,,,,,,,,,,,,,,,,
5371,R,,,,,,,,,,,,,,,,
5372,M,,,,,,,,,,,,,,,,
5373,K,,,,,,,,,,,,,,,,
5374,H,,,,,,,,,,,,,,,,
5375,E,,,,,,,,,,,,,,,,
5376,C,,,,,,,,,,,,,,,,
5377,A,,,,,,,,,,,,,,,,
5378,Y,,,,,,,,,,,,,,,,
5379,U,,,,,,,,,,,,,,,,
5380,P,,,,,,,,,,,,,,,,
5381,L,,,,,,,,,,,,,,,,
5382,J,,,,,,,,,,,,,,,,
5383,G,,,,,,,,,,,,,,,,
5384,D,,,,,,,,,,,,,,,,
5385,B,,,,,,,,,,,,,,,,
5386,Z,,,,,,,,,,,,,,,,
5387,X,,,,,,,,,,,,,,,,
5388,T,,,,,,,,,,,,,,,,
5389,R,,,,,,,,,,,,,,,,
5390,K,,,,,,,,,,,,,,,,
5391,H,,,,,,,,,,,,,,,,
5392,E,,,,,,,,,,,,,,,,
5393,C,,,,,,,,,,,,,,,,
5394,A,,,,,,,,,,,,,,,,
5395,Y,,,,,,,,,,,,,,,,
5396,U,,,,,,,,,,,,,,,,
5397,S,,,,,,,,,,,,,,,,
5398,P,,,,,,,,,,,,,,,,
5399,L,,,,,,,,,,,,,,,,
5400,R,,,,,,,,,,,,,,,,
5401,M,,,,,,,,,,,,,,,,
5402,K,,,,,,,,,,,,,,,,
5403,H,,,,,,,,,,,,,,,,
5404,E,,,,,,,,,,,,,,,,
5405,C,,,,,,,,,,,,,,,,
5406,A,,,,,,,,,,,,,,,,
5407,Y,,,,,,,,,,,,,,,,
5408,U,,,,,,,,,,,,,,,,
5409,S,,,,,,,,,,,,,,,,
5410,L,,,,,,,,,,,,,,,,
5411,J,,,,,,,,,,,,,,,,
5412,G,,,,,,,,,,,,,,,,
5413,D,,,,,,,,,,,,,,,,
5414,B,,,,,,,,,,,,,,,,
5415,Z,,,,,,,,,,,,,,,,
5416,X,,,,,,,,,,,,,,,,
5417,T,,,,,,,,,,,,,,,,
5418,R,,,,,,,,,,,,,,,,
5419,M,,,,,,,,,,,,,,,,
5420,H,,,,,,,,,,,,,,,,
5421,E,,,,,,,,,,,,,,,,
5422,C,,,,,,,,,,,,,,,,
5423,A,,,,,,,,,,,,,,,,
5424,Y,,,,,,,,,,,,,,,,
5425,U,,,,,,,,,,,,,,,,
5426,S,,,,,,,,,,,,,,,,
5427,P,,,,,,,,,,,,,,,,
5428,L,,,,,,,,,,,,,,,,
5429,J,,,,,,,,,,,,,,,,
5430,D,,,,,,,,,,,,,,,,
5431,B,,,,,,,,,,,,,,,,
5432,Z,,,,,,,,,,,,,,,,
5433,X,,,,,,,,,,,,,,,,
5434,T,,,,,,,,,,,,,,,,
5435,R,,,,,,,,,,,,,,,,
5436,M,,,,,,,,,,,,,,,,
5437,K,,,,,,,,,,,,,,,,
5438,H,,,,,,,,,,,,,,,,
5439,E,,,,,,,,,,,,,,,,
5440,A,,,,,,,,,,,,,,,,
5441,Y,,,,,,,,,,,,,,,,
5442,U,,,,,,,,,,,,,,,,
5443,S,,,,,,,,,,,,,,,,
5444,P,,,,,,,,,,,,,,,,
5445,L,,,,,,,,,,,,,,,,
5446,J,,,,,,,,,,,,,,,,
5447,G,,,,,,,,,,,,,,,,
5448,D,,,,,,,,,,,,,,,,
5449,B,,,,,,,,,,,,,,,,
5450,X,,,,,,,,,,,,,,,,
5451,T,,,,,,,,,,,,,,,,
5452,R,,,,,,,,,,,,,,,,
5453,M,,,,,,,,,,,,,,,,
5454,K,,,,,,,,,,,,,,,,
5455,H,,,,,,,,,,,,,,,,
5456,E,,,,,,,,,,,,,,,,
5457,C,,,,,,,,,,,,,,,,
5458,A,,,,,,,,,,,,,,,,
5459,Y,,,,,,,,,,,,,,,,
5460,S,,,,,,,,,,,,,,,,
5461,P,,,,,,,,,,,,,,,,
5462,L,,,,,,,,,,,,,,,,
5463,J,,,,,,,,,,,,,,,,
5464,G,,,,,,,,,,,,,,,,
5465,D,,,,,,,,,,,,,,,,
5466,B,,,,,,,,,,,,,,,,
5467,Z,,,,,,,,,,,,,,,,
5468,X,,,,,,,,,,,,,,,,
5469,T,,,,,,,,,,,,,,,,
5470,M,,,,,,,,,,,,,,,,
5471,K,,,,,,,,,,,,,,,,
5472,H,,,,,,,,,,,,,,,,
5473,E,,,,,,,,,,,,,,,,
5474,C,,,,,,,,,,,,,,,,
5475,A,,,,,,,,,,,,,,,,
5476,Y,,,,,,,,,,,,,,,,
5477,U,,,,,,,,,,,,,,,,
5478,S,,,,,,,,,,,,,,,,
5479,P,,,,,,,,,,,,,,,,
5480,J,,,,,,,,,,,,,,,,
5481,G,,,,,,,,,,,,,,,,
5482,D,,,,,,,,,,,,,,,,
5483,B,,,,,,,,,,,,,,,,
5484,Z,,,,,,,,,,,,,,,,
5485,X,,,,,,,,,,,,,,,,
5486,T,,,,,,,,,,,,,,,,
5487,R,,,,,,,,,,,,,,,,
5488,M,,,,,,,,,,,,,,,,
5489,K,,,,,,,,,,,,,,,,
5490,E,,,,,,,,,,,,,,,,
5491,C,,,,,,,,,,,,,,,,
5492,A,,,,,,,,,,,,,,,,
5493,Y,,,,,,,,,,,,,,,,
5494,U,,,,,,,,,,,,,,,,
5495,S,,,,,,,,,,,,,,,,
5496,P,,,,,,,,,,,,,,,,
5497,L,,,,,,,,,,,,,,,,
5498,J,,,,,,,,,,,,,,,,
5499,G,,,,,,,,,,,,,,,,
5500,K,,,,,,,,,,,,,,,,
5501,H,,,,,,,,,,,,,,,,
5502,E,,,,,,,,,,,,,,,,
5503,C,,,,,,,,,,,,,,,,
5504,A,,,,,,,,,,,,,,,,
5505,Y,,,,,,,,,,,,,,,,
5506,U,,,,,,,,,,,,,,,,
5507,S,,,,,,,,,,,,,,,,
5508,P,,,,,,,,,,,,,,,,
5509,L,,,,,,,,,,,,,,,,
5510,G,,,,,,,,,,,,,,,,
5511,D,,,,,,,,,,,,,,,,
5512,B,,,,,,,,,,,,,,,,
5513,Z,,,,,,,,,,,,,,,,
5514,X,,,,,,,,,,,,,,,,
5515,T,,,,,,,,,,,,,,,,
5516,R,,,,,,,,,,,,,,,,
5517,M,,,,,,,,,,,,,,,,
5518,K,,,,,,,,,,,,,,,,
5519,H,,,,,,,,,,,,,,,,
5520,C,,,,,,,,,,,,,,,,
5521,A,,,,,,,,,,,,,,,,
5522,Y,,,,,,,,,,,,,,,,
5523,U,,,,,,,,,,,,,,,,
5524,S,,,,,,,,,,,,,,,,
5525,P,,,,,,,,,,,,,,,,
5526,L,,,,,,,,,,,,,,,,
5527,J,,,,,,,,,,,,,,,,
5528,G,,,,,,,,,,,,,,,,
5529,D,,,,,,,,,,,,,,,,
5530,Z,,,,,,,,,,,,,,,,
5531,X,,,,,,,,,,,,,,,,
5532,T,,,,,,,,,,,,,,,,
5533,R,,,,,,,,,,,,,,,,
5534,M,,,,,,,,,,,,,,,,
5535,K,,,,,,,,,,,,,,,,
5536,H,,,,,,,,,,,,,,,,
5537,E,,,,,,,,,,,,,,,,
5538,C,,,,,,,,,,,,,,,,
5539,A,,,,,,,,,,,,,,,,
5540,U,,,,,,,,,,,,,,,,
5541,S,King Long,XMQ6129K,,,,,,,,,,,,,,
5542,P,,,,,,,,,,,,,,,,
5543,L,,,,,,,,,,,,,,,,
5544,J,,,,,,,,,,,,,,,,
5545,G,,,,,,,,,,,,,,,,
5546,D,,,,,,,,,,,,,,,,
5547,B,,,,,,,,,,,,,,,,
5548,Z,,,,,,,,,,,,,,,,
5549,X,,,,,,,,,,,,,,,,
5550,R,,,,,,,,,,,,,,,,
5551,M,,,,,,,,,,,,,,,,
5552,K,,,,,,,,,,,,,,,,
5553,H,,,,,,,,,,,,,,,,
5554,E,,,,,,,,,,,,,,,,
5555,C,,,,,,,,,,,,,,,,
5556,A,,,,,,,,,,,,,,,,
5557,Y,,,,,,,,,,,,,,,,
5558,U,,,,,,,,,,,,,,,,
5559,S,,,,,,,,,,,,,,,,
5560,L,,,,,,,,,,,,,,,,
5561,J,,,,,,,,,,,,,,,,
5562,G,,,,,,,,,,,,,,,,
5563,D,YUTONG,ZK6107HE,,,,,,,,,,,,,,
5564,B,,,,,,,,,,,,,,,,
5565,Z,,,,,,,,,,,,,,,,
5566,X,,,,,,,,,,,,,,,,
5567,T,,,,,,,,,,,,,,,,
5568,R,,,,,,,,,,,,,,,,
5569,M,,,,,,,,,,,,,,,,
5570,H,,,,,,,,,,,,,,,,
5571,E,,,,,,,,,,,,,,,,
5572,C,,,,,,,,,,,,,,,,
5573,A,,,,,,,,,,,,,,,,
5574,Y,,,,,,,,,,,,,,,,
5575,U,,,,,,,,,,,,,,,,
5576,S,,,,,,,,,,,,,,,,
5577,P,,,,,,,,,,,,,,,,
5578,L,,,,,,,,,,,,,,,,
5579,J,,,,,,,,,,,,,,,,
5580,D,,,,,,,,,,,,,,,,
5581,B,,,,,,,,,,,,,,,,
5582,Z,,,,,,,,,,,,,,,,
5583,X,,,,,,,,,,,,,,,,
5584,T,,,,,,,,,,,,,,,,
5585,R,,,,,,,,,,,,,,,,
5586,M,,,,,,,,,,,,,,,,
5587,K,,,,,,,,,,,,,,,,
5588,H,,,,,,,,,,,,,,,,
5589,E,,,,,,,,,,,,,,,,
5590,A,,,,,,,,,,,,,,,,
5591,Y,,,,,,,,,,,,,,,,
5592,U,,,,,,,,,,,,,,,,
5593,S,,,,,,,,,,,,,,,,
5594,P,,,,,,,,,,,,,,,,
5595,L,,,,,,,,,,,,,,,,
5596,J,,,,,,,,,,,,,,,,
5597,G,,,,,,,,,,,,,,,,
5598,D,,,,,,,,,,,,,,,,
5599,B,,,,,,,,,,,,,,,,
5600,E,,,,,,,,,,,,,,,,
5601,C,,,,,,,,,,,,,,,,
5602,A,,,,,,,,,,,,,,,,
5603,Y,,,,,,,,,,,,,,,,
5604,U,,,,,,,,,,,,,,,,
5605,S,,,,,,,,,,,,,,,,
5606,P,,,,,,,,,,,,,,,,
5607,L,,,,,,,,,,,,,,,,
5608,J,,,,,,,,,,,,,,,,
5609,G,,,,,,,,,,,,,,,,
5610,B,,,,,,,,,,,,,,,,
5611,Z,,,,,,,,,,,,,,,,
5612,X,,,,,,,,,,,,,,,,
5613,T,,,,,,,,,,,,,,,,
5614,R,,,,,,,,,,,,,,,,
5615,M,,,,,,,,,,,,,,,,
5616,K,,,,,,,,,,,,,,,,
5617,H,,,,,,,,,,,,,,,,
5618,E,,,,,,,,,,,,,,,,
5619,C,,,,,,,,,,,,,,,,
5620,Y,,,,,,,,,,,,,,,,
5621,U,,,,,,,,,,,,,,,,
5622,S,,,,,,,,,,,,,,,,
5623,P,,,,,,,,,,,,,,,,
5624,L,,,,,,,,,,,,,,,,
5625,J,,,,,,,,,,,,,,,,
5626,G,,,,,,,,,,,,,,,,
5627,D,,,,,,,,,,,,,,,,
5628,B,,,,,,,,,,,,,,,,
5629,Z,,,,,,,,,,,,,,,,
5630,T,,,,,,,,,,,,,,,,
5631,R,,,,,,,,,,,,,,,,
5632,M,,,,,,,,,,,,,,,,
5633,K,,,,,,,,,,,,,,,,
5634,H,,,,,,,,,,,,,,,,
5635,E,,,,,,,,,,,,,,,,
5636,C,,,,,,,,,,,,,,,,
5637,A,,,,,,,,,,,,,,,,
5638,Y,,,,,,,,,,,,,,,,
5639,U,,,,,,,,,,,,,,,,
5640,P,,,,,,,,,,,,,,,,
5641,L,,,,,,,,,,,,,,,,
5642,J,,,,,,,,,,,,,,,,
5643,G,,,,,,,,,,,,,,,,
5644,D,,,,,,,,,,,,,,,,
5645,B,,,,,,,,,,,,,,,,
5646,Z,,,,,,,,,,,,,,,,
5647,X,,,,,,,,,,,,,,,,
5648,T,,,,,,,,,,,,,,,,
5649,R,,,,,,,,,,,,,,,,
5650,K,,,,,,,,,,,,,,,,
5651,H,,,,,,,,,,,,,,,,
5652,E,,,,,,,,,,,,,,,,
5653,C,,,,,,,,,,,,,,,,
5654,A,,,,,,,,,,,,,,,,
5655,Y,,,,,,,,,,,,,,,,
5656,U,,,,,,,,,,,,,,,,
5657,S,,,,,,,,,,,,,,,,
5658,P,,,,,,,,,,,,,,,,
5659,L,,,,,,,,,,,,,,,,
5660,G,,,,,,,,,,,,,,,,
5661,D,,,,,,,,,,,,,,,,
5662,B,,,,,,,,,,,,,,,,
5663,Z,,,,,,,,,,,,,,,,
5664,X,,,,,,,,,,,,,,,,
5665,T,,,,,,,,,,,,,,,,
5666,R,,,,,,,,,,,,,,,,
5667,M,,,,,,,,,,,,,,,,
5668,K,,,,,,,,,,,,,,,,
5669,H,,,,,,,,,,,,,,,,
5670,C,,,,,,,,,,,,,,,,
5671,A,,,,,,,,,,,,,,,,
5672,Y,,,,,,,,,,,,,,,,
5673,U,,,,,,,,,,,,,,,,
5674,S,,,,,,,,,,,,,,,,
5675,P,,,,,,,,,,,,,,,,
5676,L,,,,,,,,,,,,,,,,
5677,J,,,,,,,,,,,,,,,,
5678,G,,,,,,,,,,,,,,,,
5679,D,,,,,,,,,,,,,,,,
5680,Z,,,,,,,,,,,,,,,,
5681,X,,,,,,,,,,,,,,,,
5682,T,,,,,,,,,,,,,,,,
5683,R,,,,,,,,,,,,,,,,
5684,M,,,,,,,,,,,,,,,,
5685,K,,,,,,,,,,,,,,,,
5686,H,,,,,,,,,,,,,,,,
5687,E,,,,,,,,,,,,,,,,
5688,C,,,,,,,,,,,,,,,,
5689,A,,,,,,,,,,,,,,,,
5690,U,,,,,,,,,,,,,,,,
5691,S,,,,,,,,,,,,,,,,
5692,P,,,,,,,,,,,,,,,,
5693,L,,,,,,,,,,,,,,,,
5694,J,,,,,,,,,,,,,,,,
5695,G,,,,,,,,,,,,,,,,
5696,D,,,,,,,,,,,,,,,,
5697,B,,,,,,,,,,,,,,,,
5698,Z,,,,,,,,,,,,,,,,
5699,X,,,,,,,,,,,,,,,,
5700,A,,,,,,,,,,,,,,,,
5701,Y,,,,,,,,,,,,,,,,
5702,U,,,,,,,,,,,,,,,,
5703,S,,,,,,,,,,,,,,,,
5704,P,,,,,,,,,,,,,,,,
5705,L,,,,,,,,,,,,,,,,
5706,J,,,,,,,,,,,,,,,,
5707,G,,,,,,,,,,,,,,,,
5708,D,,,,,,,,,,,,,,,,
5709,B,,,,,,,,,,,,,,,,
5710,X,,,,,,,,,,,,,,,,
5711,T,,,,,,,,,,,,,,,,
5712,R,,,,,,,,,,,,,,,,
5713,M,,,,,,,,,,,,,,,,
5714,K,,,,,,,,,,,,,,,,
5715,H,,,,,,,,,,,,,,,,
5716,E,,,,,,,,,,,,,,,,
5717,C,,,,,,,,,,,,,,,,
5718,A,,,,,,,,,,,,,,,,
5719,Y,,,,,,,,,,,,,,,,
5720,S,,,,,,,,,,,,,,,,
5721,P,,,,,,,,,,,,,,,,
5722,L,,,,,,,,,,,,,,,,
5723,J,,,,,,,,,,,,,,,,
5724,G,,,,,,,,,,,,,,,,
5725,D,,,,,,,,,,,,,,,,
5726,B,,,,,,,,,,,,,,,,
5727,Z,,,,,,,,,,,,,,,,
5728,X,,,,,,,,,,,,,,,,
5729,T,,,,,,,,,,,,,,,,
5730,M,,,,,,,,,,,,,,,,
5731,K,,,,,,,,,,,,,,,,
5732,H,,,,,,,,,,,,,,,,
5733,E,,,,,,,,,,,,,,,,
5734,C,,,,,,,,,,,,,,,,
5735,A,,,,,,,,,,,,,,,,
5736,Y,,,,,,,,,,,,,,,,
5737,U,,,,,,,,,,,,,,,,
5738,S,Mitsubishi,BE641JRMDEB,Mitsubishi,Strides Transportation,,,,AMDEP,Unknown,1,Mitsubishi Fuso Duonic 6-speed OD AMT,Mobitec MobiLED Compact,Mitsubishi,Mitsubishi,Mitsubishi,
5739,P,,,,,,,,,,,,,,,,
5740,J,,,,,,,,,,,,,,,,
5741,G,,,,,,,,,,,,,,,,
5742,D,,,,,,,,,,,,,,,,
5743,B,,,,,,,,,,,,,,,,
5744,Z,,,,,,,,,,,,,,,,
5745,X,,,,,,,,,,,,,,,,
5746,T,,,,,,,,,,,,,,,,
5747,R,,,,,,,,,,,,,,,,
5748,M,,,,,,,,,,,,,,,,
5749,K,,,,,,,,,,,,,,,,
5750,E,,,,,,,,,,,,,,,,
5751,C,,,,,,,,,,,,,,,,
5752,A,,,,,,,,,,,,,,,,
5753,Y,,,,,,,,,,,,,,,,
5754,U,,,,,,,,,,,,,,,,
5755,S,,,,,,,,,,,,,,,,
5756,P,,,,,,,,,,,,,,,,
5757,L,,,,,,,,,,,,,,,,
5758,J,,,,,,,,,,,,,,,,
5759,G,,,,,,,,,,,,,,,,
5760,B,,,,,,,,,,,,,,,,
5761,Z,,,,,,,,,,,,,,,,
5762,X,,,,,,,,,,,,,,,,
5763,T,,,,,,,,,,,,,,,,
5764,R,,,,,,,,,,,,,,,,
5765,M,,,,,,,,,,,,,,,,
5766,K,,,,,,,,,,,,,,,,
5767,H,,,,,,,,,,,,,,,,
5768,E,,,,,,,,,,,,,,,,
5769,C,,,,,,,,,,,,,,,,
5770,Y,,,,,,,,,,,,,,,,
5771,U,,,,,,,,,,,,,,,,
5772,S,,,,,,,,,,,,,,,,
5773,P,,,,,,,,,,,,,,,,
5774,L,,,,,,,,,,,,,,,,
5775,J,,,,,,,,,,,,,,,,
5776,G,,,,,,,,,,,,,,,,
5777,D,,,,,,,,,,,,,,,,
5778,B,,,,,,,,,,,,,,,,
5779,Z,,,,,,,,,,,,,,,,
5780,T,,,,,,,,,,,,,,,,
5781,R,,,,,,,,,,,,,,,,
5782,M,,,,,,,,,,,,,,,,
5783,K,,,,,,,,,,,,,,,,
5784,H,,,,,,,,,,,,,,,,
5785,E,,,,,,,,,,,,,,,,
5786,C,,,,,,,,,,,,,,,,
5787,A,,,,,,,,,,,,,,,,
5788,Y,,,,,,,,,,,,,,,,
5789,U,,,,,,,,,,,,,,,,
5790,P,,,,,,,,,,,,,,,,
5791,L,,,,,,,,,,,,,,,,
5792,J,,,,,,,,,,,,,,,,
5793,G,,,,,,,,,,,,,,,,
5794,D,,,,,,,,,,,,,,,,
5795,B,,,,,,,,,,,,,,,,
5796,Z,,,,,,,,,,,,,,,,
5797,X,,,,,,,,,,,,,,,,
5798,T,,,,,,,,,,,,,,,,
5799,R,Mitsubishi,BE641JRMDEB,Mitsubishi,Strides Transportation,,,,AMDEP,Unknown,1,Mitsubishi Fuso Duonic 6-speed OD AMT,Mobitec MobiLED Compact,Mitsubishi,Mitsubishi,Mitsubishi,
5800,U,,,,,,,,,,,,,,,,
5801,S,,,,,,,,,,,,,,,,
5802,P,,,,,,,,,,,,,,,,
